time,pc1_chile,pc1_peru,windindex
2000-01-01,-1.2194816473425552,-0.5477085718930574,-1.1842856694848922
2000-01-02,-4.44207731485845,-0.38885163701774306,-3.7172703807601786
2000-01-03,-8.975985532845328,-2.687657588169893,-9.031382352130041
2000-01-04,-4.004310967606872,-3.5090755368124116,-4.849075033759961
2000-01-05,-5.288231250981997,-5.700934302157999,-7.8518647157117805
2000-01-06,-3.6060649856228526,2.0064007972312803,-3.9840249687640945
2000-01-07,-2.5264863984480237,3.9595682489935604,-1.8770774763579836
2000-01-08,8.455346904808396,1.514035141028605,8.118337637156039
2000-01-09,11.702932317649019,1.227079583171726,11.790346059463081
2000-01-10,10.36080355334046,-2.252935304753339,9.136517704517564
2000-01-11,-3.1995709708541593,-4.0134241543111875,-4.339696872207893
2000-01-12,-5.819044962301211,0.9576536388930053,-4.774067607970785
2000-01-13,-0.9904849453365457,-0.4214644672593199,-0.908459662473177
2000-01-14,3.023021334714942,1.4458567618538787,3.350857836163002
2000-01-15,3.847473043125957,-0.8326821752284879,3.8517570642419856
2000-01-16,0.7203557360675074,-8.05425091915053,-0.9137032004140963
2000-01-17,-3.097229576697149,-1.5878689126205632,-2.465337092506055
2000-01-18,3.0560316749035916,7.620773267451111,5.64998957159241
2000-01-19,7.2798929095068114,16.844388835898187,10.991633119060733
2000-01-20,4.112060121274833,3.6587909675542307,4.065550184274376
2000-01-21,7.062920159081446,-10.47936549420086,2.239006680147216
2000-01-22,7.965006355915242,-4.130243035121373,5.304573294884658
2000-01-23,13.286316527953193,-2.2679429412977434,11.389423716386297
2000-01-24,4.47643072156854,-1.2813131104592643,2.9980371867041735
2000-01-25,4.872355295487488,-3.062173119459823,4.11598940483277
2000-01-26,-0.33103903916270494,-0.6379718942728778,-0.7604558912502772
2000-01-27,-8.153767998106018,-8.208384655381268,-10.336237915981485
2000-01-28,-14.744067247826527,-3.5774994838184853,-15.359107344149738
2000-01-29,-7.125759206508948,-2.7735941305565612,-7.101319870775986
2000-01-30,-7.165553882876677,-13.357236532305334,-10.551627571313176
2000-01-31,-13.941469424883136,-11.503783630704454,-16.23173907394538
2000-02-01,-11.595620067742445,-2.2899388487097965,-11.267250901372337
2000-02-02,-4.028952707611011,3.047723781206501,-1.3508805647052602
2000-02-03,4.8818259334468905,1.1413984824015355,5.247019642572979
2000-02-04,-5.705386753985861,4.350887450517166,-3.560166374060303
2000-02-05,-4.960169721949984,2.1937230313320297,-2.9750053788439037
2000-02-06,10.122261553673699,2.405978441514382,10.51675574949114
2000-02-07,6.001920694016619,10.527030564861455,8.749277120162642
2000-02-08,3.273173007232554,15.542487356401015,7.99166866503262
2000-02-09,-1.7823882707930596,13.424472764118232,1.9324868727402755
2000-02-10,3.7753936848814025,6.674192949756065,5.344284641645385
2000-02-11,-8.88462153569672,5.184683123657588,-7.7400956989414595
2000-02-12,-10.858177889206848,2.007747848274958,-10.004661278488859
2000-02-13,10.758725036276621,-1.280441466175839,9.107826996029795
2000-02-14,5.650522403046311,0.24192914959113906,5.225645494838488
2000-02-15,-7.56351757946889,2.075317191798729,-6.399338713308243
2000-02-16,11.029874337268318,5.124272466635686,12.330613923216108
2000-02-17,14.581068326874847,6.659616784514014,15.435779896599799
2000-02-18,15.837400217220853,-2.518585225171059,13.674347329350546
2000-02-19,-12.371725405843412,-6.5879283413227165,-13.71670510954417
2000-02-20,-10.788233357704557,-1.0081477735880606,-10.341891461330516
2000-02-21,-12.435819000027365,-8.902799321376545,-14.462745511051285
2000-02-22,-16.81691545807338,-12.965558785530826,-19.96557982577605
2000-02-23,-10.013957165687835,-11.444352993323124,-12.757831139829753
2000-02-24,-1.5809642999863325,-4.857076270607447,-2.6866072911101195
2000-02-25,6.089968667546156,-7.118524619048209,4.273654854227001
2000-02-26,-2.625738562946082,-5.821091297153239,-3.582272264319358
2000-02-27,16.88373795324689,6.210241505922464,18.911651796329533
2000-02-28,24.856253805358353,3.022478517665252,24.17732510241744
2000-02-29,11.721834898779953,2.3414891992244096,11.339074364154762
2000-03-01,10.057528935755693,4.536960603948825,11.120026879574421
2000-03-02,9.153718118760919,7.892975957249813,10.807590459700496
2000-03-03,9.747901013222918,3.63445754946529,10.408525356469513
2000-03-04,-1.3196918014184316,2.969417443064854,-1.1029749397212845
2000-03-05,2.6428625098340714,0.2215935925900487,2.0865077857084318
2000-03-06,-8.07287862548725,-0.7120967983783169,-8.907643096657264
2000-03-07,-1.5324246917904052,-8.818644878107323,-4.113736043170062
2000-03-08,-16.247955993901435,-12.310451936224526,-19.06510533058621
2000-03-09,-21.80970143331148,-12.861429637713861,-23.660188900202154
2000-03-10,-13.538851788125383,-8.03746297087947,-14.635823841593895
2000-03-11,-13.158289358913018,2.667098185068774,-11.395211497335541
2000-03-12,-12.023865779741708,6.142702416208137,-9.2214795396615
2000-03-13,-4.615555034890018,5.507562102227901,-2.2721533163726586
2000-03-14,8.553235888133097,9.39902872583156,10.77273403744138
2000-03-15,3.501466370563391,6.250826680303464,5.0469870092554014
2000-03-16,10.320205460208319,8.924082208433283,11.81905506348578
2000-03-17,3.180531760900356,1.2164676829069492,2.9711860812355444
2000-03-18,-8.74466634664703,-4.696181896308252,-9.67362746446651
2000-03-19,-4.791021776324474,-0.7682155877484828,-4.836813143043175
2000-03-20,8.384585015422832,1.8811312694120366,8.52516793309574
2000-03-21,12.0563352748892,5.620147703335087,12.675211652319419
2000-03-22,-0.839461430372008,11.632129687949963,1.5472100029728215
2000-03-23,5.909071696615549,9.129564393040484,8.42681425929652
